asset_nbr,asset_stats,install_dt,modlty_full,custmr_catgry_full,custmr_typ_full,srv_regn_full,divsn_full,warrnty_start_dt,warrnty_end_dt,contract_flag,warrnty_end_mnth,warrnty_flg,inputrowindex
ASSET38,Installed,2017-02-03,MODLTY1,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN7,DIVSN3,2017-02-03,2018-02-08,N,201802,N,39
ASSET39,Installed,2017-03-08,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN7,DIVSN3,2017-03-08,2018-03-13,N,201803,N,40
ASSET40,Installed,2017-02-03,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN2,DIVSN2,2017-02-03,2018-02-08,N,201802,N,41
ASSET41,Installed,2016-05-08,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN13,DIVSN1,2016-05-08,2017-05-13,N,201705,Y,42
ASSET42,Installed,2016-06-24,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN0,DIVSN0,2016-06-24,2017-06-29,Y,201706,Y,43
ASSET43,Installed,2016-04-14,MODLTY7,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN14,DIVSN6,2016-04-14,2017-04-19,Y,201704,Y,44
ASSET44,Installed,2017-02-28,MODLTY0,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN7,DIVSN3,2017-02-28,2018-03-05,Y,201803,N,45
ASSET45,Shipped,2017-10-30,MODLTY4,CUSTMR_CATGRY10,CUSTMR_TYP1,SRV_REGN6,DIVSN5,2017-10-30,2017-10-30,N,201710,Y,46
ASSET46,Installed,2016-09-22,MODLTY0,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN0,DIVSN0,2016-09-22,2017-09-27,Y,201709,Y,47
ASSET47,Installed,2016-05-27,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN0,DIVSN0,2016-05-27,2017-06-06,N,201706,Y,48
ASSET48,Installed,2017-01-24,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN7,DIVSN3,2017-01-24,2018-01-29,N,201801,N,49
ASSET49,Installed,2017-01-31,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN1,DIVSN1,2017-01-31,2018-02-05,Y,201802,N,50
ASSET50,Installed,2016-12-13,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN0,DIVSN0,2016-12-13,2017-12-18,N,201712,Y,51
ASSET51,Installed,2017-03-30,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN0,DIVSN0,2016-12-29,2018-01-08,N,201801,N,52
ASSET52,Installed,2016-05-11,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN15,DIVSN1,2016-05-11,2017-05-21,N,201705,Y,53
ASSET53,Installed,2017-03-15,MODLTY2,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN4,DIVSN4,2017-03-15,2018-03-20,N,201803,N,54
ASSET54,Installed,2016-06-09,MODLTY2,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN9,DIVSN6,2016-06-09,2017-06-14,Y,201706,Y,55
ASSET55,Installed,2016-09-06,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN15,DIVSN1,2016-09-06,2017-09-11,Y,201709,Y,56
ASSET56,Installed,2017-01-18,MODLTY4,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN6,DIVSN5,2017-01-18,2018-01-23,N,201801,N,57
ASSET57,Installed,2017-03-07,MODLTY2,CUSTMR_CATGRY2,CUSTMR_TYP0,SRV_REGN9,DIVSN6,2017-03-07,2018-03-12,N,201803,N,58
ASSET58,Installed,2016-06-08,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN1,DIVSN1,2016-06-08,2017-06-18,N,201706,Y,59
ASSET59,Shipped,2016-08-25,MODLTY5,CUSTMR_CATGRY11,CUSTMR_TYP0,SRV_REGN9,DIVSN6,2016-08-25,2017-08-30,N,201708,Y,60
ASSET60,Installed,2016-12-23,MODLTY2,CUSTMR_CATGRY12,CUSTMR_TYP0,SRV_REGN4,DIVSN4,2016-12-23,2017-12-28,N,201712,Y,61
ASSET61,Installed,2016-06-28,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN5,DIVSN0,2016-06-28,2017-07-03,N,201707,Y,62
ASSET62,Installed,2016-09-06,MODLTY4,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN6,DIVSN5,2016-09-06,2017-09-11,Y,201709,Y,63
ASSET63,Installed,2017-01-12,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN5,DIVSN0,2017-01-12,2018-01-17,N,201801,N,64
ASSET64,Installed,2016-12-27,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN1,DIVSN1,2016-12-27,2018-01-01,N,201801,N,65
ASSET65,Installed,2016-06-08,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN1,DIVSN1,2016-06-08,2017-06-18,N,201706,Y,66
ASSET66,Shipped,2016-12-27,MODLTY0,CUSTMR_CATGRY6,CUSTMR_TYP0,SRV_REGN1,DIVSN1,2016-12-27,2018-01-06,N,201801,N,67
ASSET67,Installed,2017-03-21,MODLTY5,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN14,DIVSN6,2017-03-21,2018-03-26,Y,201803,N,68
ASSET68,Installed,2016-07-15,MODLTY0,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN1,DIVSN1,2016-03-29,2017-04-20,N,201704,Y,69
ASSET69,Installed,2016-12-13,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN12,DIVSN3,2016-12-13,2017-12-18,N,201712,Y,70
ASSET70,Installed,2016-07-15,MODLTY0,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN1,DIVSN1,2016-03-29,2017-04-20,N,201704,Y,71
ASSET71,Installed,2017-09-15,MODLTY2,CUSTMR_CATGRY8,CUSTMR_TYP1,SRV_REGN4,DIVSN4,2017-09-15,2017-09-27,N,201709,Y,72
ASSET72,Installed,2016-12-30,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN0,DIVSN0,2016-12-30,2018-01-04,Y,201801,N,73
ASSET73,Installed,2017-03-21,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN2,DIVSN2,2017-03-21,2018-03-26,Y,201803,N,74
ASSET74,Installed,2017-01-06,MODLTY2,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN8,DIVSN4,2017-01-06,2018-01-11,Y,201801,N,75
ASSET75,Shipped,2017-10-17,MODLTY2,CUSTMR_CATGRY8,CUSTMR_TYP1,SRV_REGN4,DIVSN4,2017-10-12,2018-01-16,N,201801,N,76
ASSET76,Shipped,2016-12-07,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN1,DIVSN1,2016-12-07,2017-12-17,N,201712,Y,77
ASSET77,Installed,2016-04-01,MODLTY2,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN9,DIVSN6,2016-04-01,2017-04-06,Y,201704,Y,78
ASSET78,Shipped,2016-12-15,MODLTY0,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN3,DIVSN3,2016-12-15,2017-12-20,Y,201712,Y,79
ASSET79,Installed,2016-04-23,MODLTY2,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN9,DIVSN6,2016-04-23,2017-04-28,Y,201704,Y,80
ASSET80,Installed,2016-04-05,MODLTY2,CUSTMR_CATGRY13,CUSTMR_TYP0,SRV_REGN9,DIVSN6,2016-04-05,2017-04-10,Y,201704,Y,81
ASSET81,Shipped,2016-04-18,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN12,DIVSN3,2016-04-18,2017-04-28,N,201704,Y,82
ASSET82,Installed,2016-09-20,MODLTY2,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN8,DIVSN4,2016-09-20,2017-09-25,Y,201709,Y,83
ASSET83,Installed,2016-09-10,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN15,DIVSN1,2016-09-10,2017-09-15,N,201709,Y,84
ASSET84,Installed,2017-02-22,MODLTY0,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN13,DIVSN1,2017-02-22,2018-03-04,N,201803,N,85
ASSET85,Shipped,2016-05-18,MODLTY2,CUSTMR_CATGRY7,CUSTMR_TYP0,SRV_REGN10,DIVSN7,2016-05-18,2017-05-23,N,201705,Y,86
ASSET86,Installed,2016-06-28,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN0,DIVSN0,2016-06-28,2017-07-03,N,201707,Y,87
ASSET87,Shipped,2017-09-18,MODLTY2,CUSTMR_CATGRY2,CUSTMR_TYP0,SRV_REGN10,DIVSN7,2017-09-18,2017-09-30,N,201709,Y,88
ASSET88,Installed,2016-12-21,MODLTY1,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN5,DIVSN0,2016-12-21,2017-12-26,N,201712,Y,89
ASSET89,Shipped,2016-09-26,MODLTY0,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN3,DIVSN3,2016-09-26,2017-10-01,Y,201710,Y,90
ASSET90,Available,2017-02-01,MODLTY2,CUSTMR_CATGRY9,CUSTMR_TYP1,SRV_REGN4,DIVSN4,2017-02-01,2018-02-06,N,201802,N,91
ASSET91,Installed,2016-11-16,MODLTY1,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN1,DIVSN1,2016-11-16,2017-11-21,Y,201711,Y,92
ASSET92,Installed,2016-07-12,MODLTY1,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN15,DIVSN1,2016-07-12,2017-07-17,Y,201707,Y,93
ASSET93,Installed,2017-01-06,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN2,DIVSN2,2016-10-14,2017-10-24,N,201710,Y,94
ASSET94,Installed,2014-06-19,MODLTY8,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN7,DIVSN3,2014-06-19,2017-06-28,N,201706,Y,95
ASSET95,Installed,2016-06-22,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN5,DIVSN0,2016-06-22,2017-06-27,Y,201706,Y,96
ASSET96,Shipped,2017-12-18,MODLTY4,CUSTMR_CATGRY10,CUSTMR_TYP1,SRV_REGN6,DIVSN5,2017-12-18,2017-12-18,N,201712,Y,97
ASSET97,Installed,2016-06-13,MODLTY4,CUSTMR_CATGRY6,CUSTMR_TYP0,SRV_REGN6,DIVSN5,2016-06-13,2017-06-18,N,201706,Y,98
ASSET98,Installed,2016-06-24,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN0,DIVSN0,2016-06-24,2017-06-29,Y,201706,Y,99
ASSET99,Available,2017-02-10,MODLTY2,CUSTMR_CATGRY9,CUSTMR_TYP1,SRV_REGN4,DIVSN4,2017-02-10,2018-02-15,N,201802,N,100
ASSET100,Installed,2016-06-27,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN7,DIVSN3,2016-06-27,2017-07-02,N,201707,Y,101
ASSET101,Installed,2017-03-22,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN3,DIVSN3,2016-12-08,2017-12-18,N,201712,Y,102
ASSET102,Installed,2016-08-29,MODLTY4,CUSTMR_CATGRY5,CUSTMR_TYP0,SRV_REGN6,DIVSN5,2016-08-29,2017-09-03,N,201709,Y,103
ASSET103,Installed,2016-11-16,MODLTY1,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN1,DIVSN1,2016-11-16,2017-11-21,Y,201711,Y,104
ASSET104,Installed,2016-09-29,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN0,DIVSN0,2016-09-29,2017-10-09,N,201710,Y,105
ASSET105,Installed,2017-02-06,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN3,DIVSN3,2017-02-06,2018-02-11,Y,201802,N,106
ASSET106,Installed,2016-11-16,MODLTY1,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN1,DIVSN1,2016-11-16,2017-11-21,Y,201711,Y,107
ASSET107,Installed,2017-02-08,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN5,DIVSN0,2017-02-08,2018-02-13,N,201802,N,108
ASSET108,Shipped,2016-06-08,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN1,DIVSN1,2016-06-08,2017-06-13,N,201706,Y,109
ASSET109,Installed,2016-06-02,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN15,DIVSN1,2016-06-02,2017-06-07,N,201706,Y,110
ASSET110,Installed,2016-09-17,MODLTY2,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN8,DIVSN4,2016-09-17,2017-09-22,Y,201709,Y,111
ASSET111,Installed,2016-09-27,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN13,DIVSN1,2016-09-27,2017-10-07,N,201710,Y,112
ASSET112,Available,2016-05-20,MODLTY2,CUSTMR_CATGRY9,CUSTMR_TYP1,SRV_REGN4,DIVSN4,2016-05-20,2017-05-25,N,201705,Y,113
ASSET113,Installed,2017-01-31,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN0,DIVSN0,2017-01-31,2018-02-05,Y,201802,N,114
ASSET114,Installed,2016-06-30,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN7,DIVSN3,2016-06-30,2017-07-05,N,201707,Y,115
ASSET115,Installed,2016-08-26,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN16,DIVSN2,2016-08-26,2017-08-31,Y,201708,Y,116
ASSET116,Installed,2016-08-16,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN2,DIVSN2,2016-08-16,2017-08-21,N,201708,Y,117
ASSET117,Installed,2016-11-15,MODLTY2,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN8,DIVSN4,2016-11-15,2017-11-20,Y,201711,Y,118
ASSET118,Available,2017-06-15,MODLTY2,CUSTMR_CATGRY9,CUSTMR_TYP1,SRV_REGN4,DIVSN4,2017-06-15,2017-06-27,N,201706,Y,119
ASSET119,Shipped,2016-12-27,MODLTY0,CUSTMR_CATGRY6,CUSTMR_TYP0,SRV_REGN1,DIVSN1,2016-12-27,2018-01-06,N,201801,N,120
ASSET120,Installed,2016-03-27,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN2,DIVSN2,2016-03-27,2017-04-01,N,201704,Y,121
ASSET121,Installed,2016-04-13,MODLTY2,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN4,DIVSN4,2016-04-13,2017-04-18,Y,201704,Y,122
ASSET122,Installed,2016-12-30,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN7,DIVSN3,2016-12-30,2018-01-04,N,201801,N,123
ASSET123,Shipped,2017-01-12,MODLTY2,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN10,DIVSN7,2017-01-12,2018-01-17,N,201801,N,124
ASSET124,Installed,2017-02-27,MODLTY4,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN6,DIVSN5,2017-02-27,2018-03-04,Y,201803,N,125
ASSET125,Installed,2016-12-15,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN13,DIVSN1,2016-12-15,2017-12-20,N,201712,Y,126
ASSET126,Installed,2016-08-15,MODLTY0,CUSTMR_CATGRY5,CUSTMR_TYP0,SRV_REGN7,DIVSN3,2016-08-15,2017-08-20,Y,201708,Y,127
ASSET127,Shipped,2016-06-23,MODLTY1,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN15,DIVSN1,2016-06-23,2017-06-28,N,201706,Y,128
ASSET128,Installed,2016-07-06,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN0,DIVSN0,2016-07-06,2017-07-11,Y,201707,Y,129
ASSET129,Installed,2016-12-31,MODLTY2,CUSTMR_CATGRY7,CUSTMR_TYP0,SRV_REGN10,DIVSN7,2016-12-31,2018-01-05,N,201801,N,130
ASSET130,Shipped,2016-12-27,MODLTY0,CUSTMR_CATGRY6,CUSTMR_TYP0,SRV_REGN1,DIVSN1,2016-12-27,2018-01-06,N,201801,N,131
ASSET131,Installed,2016-08-19,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN5,DIVSN0,2016-08-19,2017-08-24,Y,201708,Y,132
ASSET132,Shipped,2016-07-26,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN2,DIVSN2,2016-07-26,2017-08-05,N,201708,Y,133
ASSET133,Installed,2016-11-09,MODLTY1,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN7,DIVSN3,2016-11-09,2017-11-14,N,201711,Y,134
ASSET134,Installed,2016-06-28,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN5,DIVSN0,2016-06-28,2017-07-03,N,201707,Y,135
ASSET135,Installed,2016-09-14,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN5,DIVSN0,2016-09-14,2017-09-19,Y,201709,Y,136
ASSET136,Installed,2016-08-18,MODLTY2,CUSTMR_CATGRY6,CUSTMR_TYP0,SRV_REGN8,DIVSN4,2016-08-18,2017-08-23,Y,201708,Y,137
ASSET137,Installed,2017-03-24,MODLTY0,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN16,DIVSN2,2017-03-24,2018-03-29,N,201803,N,138
ASSET138,Installed,2016-12-14,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN13,DIVSN1,2016-12-14,2017-12-19,N,201712,Y,139
ASSET139,Installed,2017-02-23,MODLTY0,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN5,DIVSN0,2017-02-23,2018-02-28,N,201802,N,140
ASSET140,Shipped,2017-03-20,MODLTY1,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN16,DIVSN2,2017-03-20,2018-03-25,N,201803,N,141
ASSET141,Available,2016-11-07,MODLTY2,CUSTMR_CATGRY9,CUSTMR_TYP1,SRV_REGN4,DIVSN4,2016-11-07,2017-11-12,N,201711,Y,142
ASSET142,Installed,2016-06-27,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN3,DIVSN3,2016-06-27,2017-07-02,Y,201707,Y,143
ASSET143,Installed,2016-06-13,MODLTY4,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN6,DIVSN5,2016-06-13,2017-06-18,Y,201706,Y,144
ASSET144,Installed,2016-12-30,MODLTY1,CUSTMR_CATGRY0,CUSTMR_TYP0,SRV_REGN12,DIVSN3,2016-12-30,2018-01-04,N,201801,N,145
ASSET145,Installed,2016-12-05,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN11,DIVSN2,2016-12-05,2017-12-10,N,201712,Y,146
ASSET146,Installed,2016-06-08,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN3,DIVSN3,2016-06-08,2017-06-13,N,201706,Y,147
ASSET147,Installed,2016-11-08,MODLTY2,CUSTMR_CATGRY7,CUSTMR_TYP0,SRV_REGN10,DIVSN7,2016-11-08,2017-11-13,N,201711,Y,148
ASSET148,Installed,2016-10-28,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN5,DIVSN0,2016-10-28,2017-11-02,Y,201711,Y,149
ASSET149,Shipped,2017-09-06,MODLTY2,CUSTMR_CATGRY2,CUSTMR_TYP0,SRV_REGN10,DIVSN7,2017-09-06,2017-09-18,N,201709,Y,150
ASSET150,Installed,2016-06-03,MODLTY5,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN8,DIVSN4,2016-06-03,2017-06-08,Y,201706,Y,151
ASSET151,Installed,2016-07-18,MODLTY0,CUSTMR_CATGRY1,CUSTMR_TYP0,SRV_REGN15,DIVSN1,2016-07-18,2017-07-23,Y,201707,Y,152
ASSET152,Installed,2017-03-13,MODLTY0,CUSTMR_CATGRY4,CUSTMR_TYP0,SRV_REGN13,DIVSN1,2017-03-13,2018-03-18,N,201803,N,153
